date,market,category,commodity,unit,price,H-date
10/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,10/15/2012
10/15/2012,National Average,vegetables and fruits,Apples (red),KG,2,10/15/2012
10/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,10/15/2012
10/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.8,10/15/2012
10/15/2012,National Average,vegetables and fruits,Garlic,KG,2.44,10/15/2012
10/15/2012,National Average,vegetables and fruits,Onions,KG,0.61,10/15/2012
10/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.14,10/15/2012
10/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.56,10/15/2012
11/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,11/15/2012
11/15/2012,National Average,cereals and tubers,Potatoes,KG,0.67,11/15/2012
11/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,11/15/2012
11/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.44,11/15/2012
11/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.28,11/15/2012
11/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.25,11/15/2012
11/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.54,11/15/2012
11/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.18,11/15/2012
11/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.26,11/15/2012
11/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,11/15/2012
11/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,11/15/2012
11/15/2012,National Average,oil and fats,Oil (olive),KG,5.3,11/15/2012
11/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.72,11/15/2012
11/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,11/15/2012
11/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.73,11/15/2012
11/15/2012,National Average,pulses and nuts,Lentils,KG,1.21,11/15/2012
11/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,11/15/2012
11/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.9,11/15/2012
11/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,11/15/2012
11/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.59,11/15/2012
11/15/2012,National Average,vegetables and fruits,Garlic,KG,2.53,11/15/2012
11/15/2012,National Average,vegetables and fruits,Onions,KG,0.6,11/15/2012
11/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.63,11/15/2012
11/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.48,11/15/2012
12/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,12/15/2012
