date,market,category,commodity,unit,price,H-date
1/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.43,4/03/1434
1/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.17,4/03/1434
1/15/2013,National Average,miscellaneous food,Sugar,KG,0.8,4/03/1434
1/15/2013,National Average,oil and fats,Oil (olive),KG,5.3,4/03/1434
1/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.86,4/03/1434
1/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.5,4/03/1434
1/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.77,4/03/1434
1/15/2013,National Average,pulses and nuts,Lentils,KG,1.26,4/03/1434
1/15/2013,National Average,vegetables and fruits,Apples (red),KG,1.99,4/03/1434
1/15/2013,National Average,vegetables and fruits,Bananas,KG,0.85,4/03/1434
1/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.64,4/03/1434
1/15/2013,National Average,vegetables and fruits,Garlic,KG,2.54,4/03/1434
1/15/2013,National Average,vegetables and fruits,Onions,KG,0.63,4/03/1434
1/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,1.57,4/03/1434
1/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.77,4/03/1434
2/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,5/04/1434
2/15/2013,National Average,cereals and tubers,Potatoes,KG,0.78,5/04/1434
2/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.15,5/04/1434
2/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.84,5/04/1434
2/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.34,5/04/1434
2/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.45,5/04/1434
2/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.8,5/04/1434
2/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,11.75,5/04/1434
2/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.54,5/04/1434
2/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.16,5/04/1434
2/15/2013,National Average,miscellaneous food,Sugar,KG,0.79,5/04/1434
2/15/2013,National Average,oil and fats,Oil (olive),KG,5.07,5/04/1434
2/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.85,5/04/1434
2/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,5/04/1434
2/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.78,5/04/1434
2/15/2013,National Average,pulses and nuts,Lentils,KG,1.28,5/04/1434
2/15/2013,National Average,vegetables and fruits,Apples (red),KG,2.05,5/04/1434
2/15/2013,National Average,vegetables and fruits,Bananas,KG,0.83,5/04/1434
2/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.68,5/04/1434
2/15/2013,National Average,vegetables and fruits,Garlic,KG,2.65,5/04/1434
2/15/2013,National Average,vegetables and fruits,Onions,KG,0.68,5/04/1434
2/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,0.6,5/04/1434
2/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.48,5/04/1434
